Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Best uses (product.metafields.shopify.best-uses),Boot style (product.metafields.shopify.boot-style),Bra closure type (product.metafields.shopify.bra-closure-type),Bra coverage (product.metafields.shopify.bra-coverage),Bra features (product.metafields.shopify.bra-features),Bra strap type (product.metafields.shopify.bra-strap-type),Bra style (product.metafields.shopify.bra-style),Bra support level (product.metafields.shopify.bra-support-level),Bracelet design (product.metafields.shopify.bracelet-design),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Cup size (product.metafields.shopify.cup-size),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Earring design (product.metafields.shopify.earring-design),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Flat shoe style (product.metafields.shopify.flat-shoe-style),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Lens polarization (product.metafields.shopify.lens-polarization),Necklace design (product.metafields.shopify.necklace-design),Neckline (product.metafields.shopify.neckline),Occasion style (product.metafields.shopify.occasion-style),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Ring design (product.metafields.shopify.ring-design),Sandal style (product.metafields.shopify.sandal-style),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Skirt style (product.metafields.shopify.skirt-style),Sleeve length type (product.metafields.shopify.sleeve-length-type),Sneaker style (product.metafields.shopify.sneaker-style),Swimwear features (product.metafields.shopify.swimwear-features),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / France,Price / France,Compare At Price / France,Included / Italie,Price / Italie,Compare At Price / Italie,Included / Spain,Price / Spain,Compare At Price / Spain,Status
blouse-rayee-elegante-pour-femme,Blouse Rayée Élégante Pour Femme,"<p class=""p1"">Apportez une touche d’élégance intemporelle à votre garde-robe avec cette blouse rayée pour femme. Conçue avec une coupe fluide et décontractée, elle associe parfaitement confort et style raffiné pour un look chic au quotidien.</p>
<p class=""p1"">Le col en V féminin avec détails boutonnés apporte une finition moderne et élégante, tandis que les manches légèrement bouffantes offrent une allure légère et sophistiquée. Grâce à son tissu respirant et agréable à porter, cette blouse est idéale pour rester élégante et confortable toute la journée.</p>
<p class=""p1"">Parfaite pour le bureau, les vacances, les brunchs, les sorties en ville et les tenues casual chic. Associez-la facilement avec un jean, un pantalon habillé, une jupe ou un short pour créer des looks élégants en toute saison.</p>
<h2><span class=""s1""><b>Détails</b></span></h2>
<p class=""p1"">• Blouse Rayée Élégante Pour Femme<br>• Coupe Fluide Et Décontractée<br>• Col En V Féminin<br>• Détails Boutonnés À L’Avant<br>• Motif À Rayures Verticales<br>• Tissu Léger Et Respirant<br>• Manches Bouffantes Élégantes<br>• Confort Optimal Au Quotidien<br>• Facile À Associer Pour Un Look Chic Ou Décontracté<br>• Idéale Pour Le Printemps, L’Été Et Les Voyages</p>",Ceofo,Apparel & Accessories > Clothing > Clothing Tops > Blouses,"","",false,Couleur,Bleu,,Taille,S,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,1,"",false,,,212,,adult,,,,,,,,,,,,adults,,,,,,,,,,,,,,,,raye,,,,,,,,,,,,,,,col-en-v,,,,,,,,,,,,,long,,,female,,moyen,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,kg,,,true,,,true,,,true,,,draft
blouse-rayee-elegante-pour-femme,,,,,,,,,Bleu,,,M,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Bleu,,,L,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1014/8016/9817/files/4_f05945eb-ec99-4a92-9575-15968d207240.png?v=1778170500,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Bleu,,,XL,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1014/8016/9817/files/5_8ac802ac-f85b-46ad-aa3b-e97f0c903736.png?v=1778170500,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Bleu,,,XXL,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1014/8016/9817/files/2_740bf648-be6d-4945-827b-4968835077e4.png?v=1778170500,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/1_f097bd6f-ab13-49d5-a991-7ef1a09da98c.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Vert,,,S,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Vert,,,M,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Vert,,,L,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Vert,,,XL,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,kg,,,,,,,,,,,,
blouse-rayee-elegante-pour-femme,,,,,,,,,Vert,,,XXL,,,,,,0.0,shopify,20,deny,manual,34.95,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1014/8016/9817/files/3_b25ace29-4bc6-485d-ab3b-2a9bab740a4e.png?v=1778170500,kg,,,,,,,,,,,,
